Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	C:: MICROSOFT EDGE INSTALLER sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: MICROSOFT EDGE sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: WINDOWS SOFTWARE DEVELOPMENT KIT - WINDOWS 10.0.22621.3233 sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: MICROSOFT .NET FRAMEWORK 4.6.1 DEVELOPER PACK sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: MICROSOFT VISUAL C++ 2015-2019 REDISTRIBUTABLE (X64) - 14.28.29325 sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: MICROSOFT .NET FRAMEWORK 4.6.1 DEVELOPER PACK (FRA) sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: MICROSOFT VISUAL STUDIO 2015 SECONDARY INSTALLER sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: VISUAL STUDIO 2015 UPDATE 3 (KB3022398) sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: VISUAL STUDIO sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
Autoriser	Tout le monde	C:: MICROSOFT VISUAL C++ 2015-2022 REDISTRIBUTABLE (X86) - 14.40.33810 sign¨¦ par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	¨¦diteur	
